Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"4th of july liberal shirt",293,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1134316,16.34,99,1717.46,7,4.63,1,101,408,0,0,"Jun, 2025",3,1000,37.26
"okc thunder finals championship shirt",146,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,90341,23.49,388,9162.73,13,4.70,1,483,,0,-7,"Jun, 2025",0,154,115.58
"hello third grade shirt girls",442,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,196476,16.65,129,1982.52,5,4.72,1,75,,0,0,"Jul, 2025",1,10000,37.67
"i support harvard t shirt",198,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",19,820785,18.13,21,376.19,6,4.54,1,43,,0,-4,"May, 2025",0,101,5.31
"tennessee orange megan moroney shirt",31,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,536067,24.41,67,1954.33,12,4.70,1,18,52,0,-49,"Jun, 2025",0,95,9.42
"pre k graduation shirt girl",260,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1428394,17.17,9,111.9,18,4.69,1,348,,-130,-22,"May, 2025",0,20000,0.66
"more spaghetti less upsetti shirt",865,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1116563,15.19,17,253,6,4.18,1,10,-40,0,-38,"Apr, 2025",1,153,9.92
"baby billys bible bonkers t-shirt",160,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",20,880557,26.15,41,997.65,12,4.88,1,199,,0,-27,"May, 2025",0,47,8.35
"garbage for trump 2024 t-shirt",14,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1489452,17.55,8,127.83,8,4.81,1,0,,0,-10,"Nov, 2024",0,351,0.77
"jasmine crockett t-shirt bleach blonde",43,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",18,1187392,17.83,4,60.85,7,4.76,1,40,,-66,-15,"Mar, 2025",0,76,1.47
"smokey the bear resist t-shirt",141,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,836626,16.13,50,860.45,5,4.01,1,31,,0,0,"Jun, 2025",2,215,24.80
"donald trump fist pump t-shirt",91,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1229846,16.95,15,250.8,0,-1.00,1,0,,588,-4,"Dec, 2024",0,211,-1.00
